#/**
#  *
#  * Include scripts message catalog (English)
#  *
#  * Codendi 
#  * Copyright (c) Xerox Corporation, Codendi Team, 2001-2009. All rights reserved
#  * http://www.codendi.com
#  *
#  *
#  */
#
#-----------------------------------------------
# Script: src/common/project//category.php
#
register_category	upd_query_fail	Esto es un estado nulo . Consulta de actualización falló. <B>COMPLACER</B> informe a $1
register_category	var_missing	Esto es un estado nulo . Algunas variables de forma faltaron. Si  eres seguro  introdujiste todo, <B>COMPLACER</B> informe a $1 e incluir *info en vuestro navegador y configuración de plataforma
register_category	project_category	Categoría de proyecto
register_category	select_3_classifs	Puede seleccionar hasta tres clasificaciones para este proyecto. Esto ayudará usuarios y desarrolladores potenciales para encontrar su proyecto y participar. Esta información es opcional.</P>COMENTARIOS IMPORTANTES: <ul></li>los proyectos deben que ser ubicados en las categorias mas significativas para ayudar a los otros</li></li>Categorización simultánea en una categoría concreta Y una categoría de padre resultarán en único la categorización más concreta el ser aceptó.</li></li><em><B>Tema único</B></em>: Si vuestro proyecto no parece para caber a cualquier de las categorías o sub-categorías, sencillamente seleccionar "Otro/No Listó Temas". Proyectos tan nuevos están entregados, el Equipo $1  refine el Tema *Trove por definir 2.º y posiblemente 3.as subcategorías de nivel.   Damos la bienvenida a cualesquier sugerencias en este.  Puedes cambiar el *trove categorías para este proyecto en cualquier tiempo.</li></*ul>
#
#-----------------------------------------------
# Script: src/common/project//confirmation.php
#
register_confirmation	registration_complete	La inscripción Completa
register_confirmation	upd_fail	ACTUALIZANDO A ACTIVO FALLÓ. COMPLACER informe a $1 $2
register_confirmation	ins_file_fail	INSERTANDO *FILEMODULE FALLÓ. COMPLACER informe a *admin@$1 $2
register_confirmation	set_owner_fail	PONIÉNDOTE TAN el DUEÑO FALLÓ. COMPLACER informe a $1 $2
register_confirmation	open_discussion	Discusión abierta
register_confirmation	general_discussion	Discusión general
register_confirmation	get_help	Consigue Ayuda
register_confirmation	developers	Desarrolladores
register_confirmation	proj_dev_discussion	Discusión de Desarrollador del proyecto
register_confirmation	cant_create_service	ERROR - no Puede crear servicio
register_confirmation	cant_create_docgroup	ERROR - no Puede crear *default Grupo de Documento
register_confirmation	cant_copy_cvs_infos	ERROR - no Puede copiar *default *CVS información
register_confirmation	cant_copy_svn_infos	ERROR - no Puede copiar *default *SVN información
